id,categoryname,title,partno,size,price,code,weight
2221,Expansion Joints,EXPANSION JOINT 6,826-015X6,1/01/2002,566.23,L,1.18
2222,Expansion Joints,EXPANSION JOINT 6,826-020X6,2,633.39,L,1.76
2223,Expansion Joints,EXPANSION JOINT 6,826-025X6,2/01/2002,722.45,L,2.92
2224,Expansion Joints,EXPANSION JOINT 6,826-030X6,3,749.94,L,2.55
2225,Expansion Joints,EXPANSION JOINT 6,826-040X6,4,804.83,L,5.23
2226,Expansion Joints,EXPANSION JOINT 6,826-060X6,6,1325.97,L,12.8
2227,Expansion Joints,EXPANSION JOINT 6,826-080X6,8,1825.48,L,20.07
2228,Expansion Joints,ELASTOMER EXPANSION JOINT UPVC EPDM SOC,EJ22-007,3-Apr,313.42,L,0.16
2229,Expansion Joints,ELASTOMER EXPANSION JOINT UPVC EPDM SOC,EJ22-010,1,355.35,L,0.34
2230,Expansion Joints,ELASTOMER EXPANSION JOINT UPVC EPDM SOC,EJ22-012,1/01/2004,382.55,L,0.31
2231,Expansion Joints,ELASTOMER EXPANSION JOINT UPVC EPDM SOC,EJ22-015,1/01/2002,464.75,L,0.63
2232,Expansion Joints,ELASTOMER EXPANSION JOINT UPVC EPDM SOC,EJ22-020,2,571.23,L,0.88
2233,Expansion Joints,ELASTOMER EXPANSION JOINT UPVC EPDM SOC,EJ22-025,2/01/2002,808.04,L,2.05
2234,Expansion Joints,ELASTOMER EXPANSION JOINT UPVC EPDM SOC,EJ22-030,3,1110.74,L,2.22
2235,Expansion Joints, ELASTOMER EXPANSION JOINT UPVC EPDM SR FIPT,EJ21-007SR,3-Apr,276.33,L,0.16
2236,Expansion Joints, ELASTOMER EXPANSION JOINT UPVC EPDM SR FIPT,EJ21-010SR,1,314.74,L,0.35
2237,Expansion Joints, ELASTOMER EXPANSION JOINT UPVC EPDM SR FIPT,EJ21-012SR,1/01/2004,342.35,L,0.33
2238,Expansion Joints, ELASTOMER EXPANSION JOINT UPVC EPDM SR FIPT,EJ21-015SR,1/01/2002,436.97,L,0.65
2239,Expansion Joints, ELASTOMER EXPANSION JOINT UPVC EPDM SR FIPT,EJ21-020SR,2,525.04,L,0.89
2240,Expansion Joints, ELASTOMER EXPANSION JOINT UPVC EPDM SR FIPT,EJ21-025SR,2/01/2002,760.85,L,1.77
2241,Expansion Joints, ELASTOMER EXPANSION JOINT UPVC EPDM SR FIPT,EJ21-030SR,3,1028.94,L,2.27
2242,Gauge Guards," GUAGE GUARDS  PTFE Diaphragm 1/4"" Inlet Connection",G0154-002P,0-15 psi,284.15,L,0.24
2243,Gauge Guards," GUAGE GUARDS  PTFE Diaphragm 1/4"" Inlet Connection",G0304-002P,0-30 psi,284.15,L,0.24
2244,Gauge Guards," GUAGE GUARDS  PTFE Diaphragm 1/4"" Inlet Connection",G0604-002P,0-60 psi,284.15,L,0.24
2245,Gauge Guards," GUAGE GUARDS  PTFE Diaphragm 1/4"" Inlet Connection",G1004-002P,0-100 psi,284.15,L,0.24
2246,Gauge Guards," GUAGE GUARDS  PTFE Diaphragm 1/4"" Inlet Connection",G1604-002P,0-160 psi,284.15,L,0.24
2247,Gauge Guards," GUAGE GUARDS  PTFE Diaphragm 1/4"" Inlet Connection",G2004-002P,0-200 psi,284.15,L,0.24
2248,Gauge Guards," GUAGE GUARDS  PTFE Diaphragm 1/4"" Inlet Connection",G3004-002P,0-300 psi,284.15,L,0.24
2249,Gauge Guards," GUAGE GUARDS  PTFE Diaphragm 1/2"" Inlet Connection",G0154-005P,0-15 psi,284.15,L,0.24
2250,Gauge Guards," GUAGE GUARDS  PTFE Diaphragm 1/2"" Inlet Connection",G0304-005P,0-30 psi,284.15,L,0.24
2251,Gauge Guards," GUAGE GUARDS  PTFE Diaphragm 1/2"" Inlet Connection",G0604-005P,0-60 psi,284.15,L,0.24
2252,Gauge Guards," GUAGE GUARDS  PTFE Diaphragm 1/2"" Inlet Connection",G1004-005P,0-100 psi,284.15,L,0.24
2253,Gauge Guards," GUAGE GUARDS  PTFE Diaphragm 1/2"" Inlet Connection",G1604-005P,0-160 psi,284.15,L,0.24
2254,Gauge Guards," GUAGE GUARDS  PTFE Diaphragm 1/2"" Inlet Connection",G2004-005P,0-200 psi,284.15,L,0.24
2255,Gauge Guards," GUAGE GUARDS  PTFE Diaphragm 1/2"" Inlet Connection",G3004-005P,0-300 psi,284.15,L,0.24
2256,Gauge Guards," GUAGE GUARDS  VITON Diaphragm 1/4"" Inlet Connection",G0153-002P,0-15 psi,374.68,L,0.24
2257,Gauge Guards," GUAGE GUARDS  VITON Diaphragm 1/4"" Inlet Connection",G0303-002P,0-30 psi,374.68,L,0.24
2258,Gauge Guards," GUAGE GUARDS  VITON Diaphragm 1/4"" Inlet Connection",G0603-002P,0-60 psi,374.68,L,0.24
2259,Gauge Guards," GUAGE GUARDS  VITON Diaphragm 1/4"" Inlet Connection",G1003-002P,0-100 psi,374.68,L,0.24
2260,Gauge Guards," GUAGE GUARDS  VITON Diaphragm 1/4"" Inlet Connection",G1603-002P,0-160 psi,374.68,L,0.24
2261,Gauge Guards," GUAGE GUARDS  VITON Diaphragm 1/4"" Inlet Connection",G2003-002P,0-200 psi,374.68,L,0.24
2262,Gauge Guards," GUAGE GUARDS  VITON Diaphragm 1/4"" Inlet Connection",G3003-002P,0-300 psi,374.68,L,0.24
2263,Gauge Guards," GUAGE GUARDS  VITON Diaphragm 1/2"" Inlet Connection",G0153-005P,0-15 psi,374.68,L,0.24
2264,Gauge Guards," GUAGE GUARDS  VITON Diaphragm 1/2"" Inlet Connection",G0303-005P,0-30 psi,374.68,L,0.24
2265,Gauge Guards," GUAGE GUARDS  VITON Diaphragm 1/2"" Inlet Connection",G0603-005P,0-60 psi,374.68,L,0.24
2266,Gauge Guards," GUAGE GUARDS  VITON Diaphragm 1/2"" Inlet Connection",G1003-005P,0-100 psi,374.68,L,0.24
2267,Gauge Guards," GUAGE GUARDS  VITON Diaphragm 1/2"" Inlet Connection",G1603-005P,0-160 psi,374.68,L,0.24
2268,Gauge Guards," GUAGE GUARDS  VITON Diaphragm 1/2"" Inlet Connection",G2003-005P,0-200 psi,374.68,L,0.24
2269,Gauge Guards," GUAGE GUARDS  VITON Diaphragm 1/2"" Inlet Connection",G3003-005P,0-300 psi,374.68,L,0.24
2270,Gauge Guards," GUAGE GUARDS  EPDM Diaphragm 1/4"" Inlet Connection",G0152-002P,0-15 psi,374.68,L,0.24
2271,Gauge Guards," GUAGE GUARDS  EPDM Diaphragm 1/4"" Inlet Connection",G0302-002P,0-30 psi,374.68,L,0.24
2272,Gauge Guards," GUAGE GUARDS  EPDM Diaphragm 1/4"" Inlet Connection",G0602-002P,0-60 psi,374.68,L,0.24
2273,Gauge Guards," GUAGE GUARDS  EPDM Diaphragm 1/4"" Inlet Connection",G1002-002P,0-100 psi,374.68,L,0.24
2274,Gauge Guards," GUAGE GUARDS  EPDM Diaphragm 1/4"" Inlet Connection",G1602-002P,0-160 psi,374.68,L,0.24
2275,Gauge Guards," GUAGE GUARDS  EPDM Diaphragm 1/4"" Inlet Connection",G2002-002P,0-200 psi,374.68,L,0.24
2276,Gauge Guards," GUAGE GUARDS  EPDM Diaphragm 1/4"" Inlet Connection",G3002-002P,0-300 psi,374.68,L,0.24
2277,Gauge Guards,"GUAGE GUARDS  EPDM Diaphragm 1/2"" Inlet Connection",G0152-005P,0-15 psi,374.68,L,0.24
2278,Gauge Guards,"GUAGE GUARDS  EPDM Diaphragm 1/2"" Inlet Connection",G0302-005P,0-30 psi,374.68,L,0.24
2279,Gauge Guards,"GUAGE GUARDS  EPDM Diaphragm 1/2"" Inlet Connection",G0602-005P,0-60 psi,374.68,L,0.24
2280,Gauge Guards,"GUAGE GUARDS  EPDM Diaphragm 1/2"" Inlet Connection",G1002-005P,0-100 psi,374.68,L,0.24
2281,Gauge Guards,"GUAGE GUARDS  EPDM Diaphragm 1/2"" Inlet Connection",G1602-005P,0-160 psi,374.68,L,0.24
2282,Gauge Guards,"GUAGE GUARDS  EPDM Diaphragm 1/2"" Inlet Connection",G2002-005P,0-200 psi,374.68,L,0.24
2283,Gauge Guards,"GUAGE GUARDS  EPDM Diaphragm 1/2"" Inlet Connection",G3002-005P,0-300 psi,374.68,L,0.24
2284,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Threaded FPT/Socket Ends (BSPT also available),1829-005,1-Feb,89.44,B,0.22
2285,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Threaded FPT/Socket Ends (BSPT also available),1829-007,3-Apr,105.84,B,0.32
2286,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Threaded FPT/Socket Ends (BSPT also available),1829-010,1,126.04,B,0.44
2287,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Threaded FPT/Socket Ends (BSPT also available),1829-012,1/01/2004,174.35,B,0.64
2288,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Threaded FPT/Socket Ends (BSPT also available),1829-015,1/01/2002,210.01,B,0.87
2289,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Threaded FPT/Socket Ends (BSPT also available),1829-020,2,277.13,B,1.48
2290,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Socket Ends,1822-025,2/01/2002,459.46,"POA	",3.38
2291,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Socket Ends,1822-030,3,605.76,POA,3.45
2292,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Socket Ends,1822-040,4,1023.48,POA,5.57
2293,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Socket Ends,1822-060,6,2210.89,"POA	",18.13
2294,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Socket Ends,1822-080,8,2940.52,POA,23.07
2295,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Threaded Ends,1821-025,2/01/2002,459.46,POA,3.4
2296,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Threaded Ends,1821-030,3,605.76,POA,3.44
2297,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Threaded Ends,1821-040,4,1023.48,POA,5.46
2298,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Threaded Ends,1821-060,6,2210.89,POA,18.11
2299,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  SR Threaded Ends,1821-005SR,1-Feb,78.79,POA,0.2
2300,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  SR Threaded Ends,1821-007SR,3-Apr,95.26,POA,0.28
2301,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  SR Threaded Ends,1821-010SR,1,112.7,POA,0.37
2302,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  SR Threaded Ends,1821-012SR,1/01/2004,162.36,POA,0.55
2303,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  SR Threaded Ends,1821-015SR,1/01/2002,194.04,POA,0.73
2304,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  SR Threaded Ends,1821-020SR,2,252.98,POA,1.27
2305,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  SR Threaded Ends,1821-025SR,2/01/2002,497,POA,3.43
2306,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  SR Threaded Ends,1821-030SR,3,643.32,POA,3.5
2307,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  SR Threaded Ends,1821-040SR,4,1067.3,POA,5.51
2308,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  SR Threaded Ends,1821-060SR,6,2273.44,POA,17.83
2309,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Flanged Ends,1823-005,1-Feb,110.35,POA,0.38
2310,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Flanged Ends,1823-007,3-Apr,139.79,POA,0.54
2311,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Flanged Ends,1823-010,1,169.2,POA,0.72
2312,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Flanged Ends,1823-012,1/01/2004,198.68,POA,0.97
2313,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Flanged Ends,1823-015,1/01/2002,250.2,POA,1.26
2314,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Flanged Ends,1823-020,2,398.38,POA,2.1
2315,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Flanged Ends,1823-025,2/01/2002,735.74,POA,4.83
2316,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Flanged Ends,1823-030,3,408.21,POA,5.13
2317,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Flanged Ends,1823-040,4,1635.09,POA,8.3
2318,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Flanged Ends,1823-060,6,3481.43,POA,22.42
2319,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/EPDM  Flanged Ends,1823-080,8,4630.3,POA,30.04
2320,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Threaded FPT/Socket Ends (BSPT also available),1829-005C,1-Feb,118.14,B,0.23
2321,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Threaded FPT/Socket Ends (BSPT also available),1829-007C,3-Apr,148.77,B,0.33
2322,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Threaded FPT/Socket Ends (BSPT also available),1829-010C,1,177.12,B,0.46
2323,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Threaded FPT/Socket Ends (BSPT also available),1829-012C,1/01/2004,281.57,B,0.67
2324,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Threaded FPT/Socket Ends (BSPT also available),1829-015C,1/01/2002,297.38,B,0.89
2325,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Threaded FPT/Socket Ends (BSPT also available),1829-020C,2,397.71,B,1.54
2326,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Socket Ends,1822-025C,2/01/2002,668.78,POA,3.54
2327,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Socket Ends,1822-030C,3,781.95,POA,3.58
2328,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Socket Ends,1822-040C,4,1416.95,POA,6.11
2329,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Socket Ends,1822-060C,6,3016.45,POA,18.77
2330,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Socket Ends,1822-080C,8,4011.92,POA,24.27
2331,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Threaded Ends,1821-025C,2/01/2002,668.78,POA,3.56
2332,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Threaded Ends,1821-030C,3,781.95,POA,3.57
2333,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Threaded Ends,1821-040C,4,1416.95,POA,5.96
2334,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Threaded Ends,1821-060C,6,3016.45,POA,18.35
2335,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  SR Threaded Ends,1821-005CSR,1-Feb,90.02,POA,0.21
2336,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  SR Threaded Ends,1821-007CSR,3-Apr,115.06,POA,0.24
2337,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  SR Threaded Ends,1821-010CSR,1,136.32,POA,0.39
2338,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  SR Threaded Ends,1821-012CSR,1/01/2004,221.63,POA,0.57
2339,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  SR Threaded Ends,1821-015CSR,1/01/2002,234.27,POA,0.75
2340,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  SR Threaded Ends,1821-020CSR,2,310.43,POA,1.32
2341,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  SR Threaded Ends,1821-025CSR,2/01/2002,701.43,POA,3.6
2342,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  SR Threaded Ends,1821-030CSR,3,814.59,POA,3.65
2343,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  SR Threaded Ends,1821-040CSR,4,1455.03,POA,6.05
2344,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  SR Threaded Ends,1821-060CSR,6,3099.11,POA,18.49
2345,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Flanged Ends,1823-005C,1-Feb,150.34,POA,0.39
2346,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Flanged Ends,1823-007C,3-Apr,184.29,POA,0.56
2347,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Flanged Ends,1823-010C,1,210.95,POA,0.75
2348,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Flanged Ends,1823-012C,1/01/2004,315.2,POA,1.02
2349,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Flanged Ends,1823-015C,1/01/2002,346.71,POA,1.35
2350,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Flanged Ends,1823-020C,2,482.46,POA,2.21
2351,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Flanged Ends,1823-025C,2/01/2002,900.48,POA,4.99
2352,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Flanged Ends,1823-030C,3,1316.88,POA,5.33
2353,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Flanged Ends,1823-040C,4,2309.61,POA,8.95
2354,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Flanged Ends,1823-060C,6,4919.44,POA,23.08
2355,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/EPDM  Flanged Ends,1823-080C,8,6542.84,POA,31.69
2356,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Threaded FPT/Socket Ends (BSPT also available),1839-005,1-Feb,99.48,B,0.22
2357,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Threaded FPT/Socket Ends (BSPT also available),1839-007,3-Apr,117.73,B,0.32
2358,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Threaded FPT/Socket Ends (BSPT also available),1839-010,1,140.39,B,0.43
2359,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Threaded FPT/Socket Ends (BSPT also available),1839-012,1/01/2004,222.55,B,0.65
2360,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Threaded FPT/Socket Ends (BSPT also available),1839-015,1/01/2002,233.13,B,0.88
2361,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Threaded FPT/Socket Ends (BSPT also available),1839-020,2,305.17,B,1.49
2362,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM     Socket Ends,1832-025,2/01/2002,622.57,POA,3.41
2363,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM     Socket Ends,1832-030,3,673.07,POA,3.47
2364,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM     Socket Ends,1832-040,4,1137.19,POA,5.6
2365,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM     Socket Ends,1832-060,6,2453.53,POA,18.2
2366,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM     Socket Ends,1832-080,8,3263.22,POA,23.14
2367,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Threaded Ends,1831-025,2/01/2002,622.57,POA,3.43
2368,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Threaded Ends,1831-030,3,673.07,POA,3.47
2369,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Threaded Ends,1831-040,4,1137.19,POA,5.49
2370,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Threaded Ends,1831-060,6,2453.54,POA,18.17
2371,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Threaded Ends,1832-080,8,3263.22,POA,23.14
2372,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  SR Threaded Ends,1831-005SR,1-Feb,87.49,POA,0.2
2373,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  SR Threaded Ends,1831-007SR,3-Apr,105.57,POA,0.28
2374,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  SR Threaded Ends,1831-010SR,"	 1",125.06,POA,0.37
2375,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  SR Threaded Ends,1831-012SR,1/01/2004,203.94,POA,0.56
2376,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  SR Threaded Ends,1831-015SR,1/01/2002,213.96,POA,0.74
2377,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  SR Threaded Ends,1831-020SR,2,276.9,POA,1.28
2378,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  SR Threaded Ends,1831-025SR,2/01/2002,660.06,POA,3.46
2379,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  SR Threaded Ends,1831-030SR,3,710.61,POA,3.52
2380,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  SR Threaded Ends,1831-040SR,4,1181.03,POA,5.54
2381,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  SR Threaded Ends,1831-060SR,6,2516.04,POA,17.9
2382,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Flanged Ends,1833-005,1-Feb,117.69,POA,0.38
2383,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Flanged Ends,1833-007,3-Apr,152.06,POA,0.54
2384,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Flanged Ends,1833-010,1,181.97,POA,0.71
2385,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Flanged Ends,1833-012,1/01/2004,220.72,POA,0.98
2386,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Flanged Ends,1833-015,1/01/2002,272.24,POA,1.27
2387,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Flanged Ends,1833-020,2,422.54,POA,2.11
2388,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Flanged Ends,1833-025,2/01/2002,747.91,POA,4.85
2389,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Flanged Ends,1833-030,3,1009.66,POA,5.16
2390,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Flanged Ends,1833-040,4,1895.33,POA,8.32
2391,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Flanged Ends,1833-060,6,4036.66,POA,22.49
2392,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE UPVC/FPM  Flanged Ends,1833-080,8,5368.76,POA,30.11
2393,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/FPM  Threaded FPT/Socket Ends (BSPT also available),1839-005C,1-Feb,131.27,B,0.23
2394,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/FPM  Threaded FPT/Socket Ends (BSPT also available),1839-007C,3-Apr,165.35,B,0.33
2395,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/FPM  Threaded FPT/Socket Ends (BSPT also available),1839-010C,1,196.79,B,0.83
2396,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/FPM  Threaded FPT/Socket Ends (BSPT also available),1839-012C,1/01/2004,312.94,B,0.67
2397,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/FPM  Threaded FPT/Socket Ends (BSPT also available),1839-015C,1/01/2002,330.43,B,0.9
2398,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/FPM  Threaded FPT/Socket Ends (BSPT also available),1839-020C,2,457.2,B,1.55
2399,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/FPM  Socket Ends,1832-025C,2/01/2002,1184.89,POA,3.57
2400,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/FPM  Socket Ends,1832-030C,3,1385.6,POA,3.61
2401,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/FPM  Socket Ends,1832-040C,4,2510.57,POA,6.14
2402,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/FPM  Socket Ends,1832-060C,6,5809.08,POA,18.84
2403,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/FPM  Socket Ends,1832-080C,8,7726.09,POA,24.34
2404,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE CPVC/FPM   Threaded Ends,1831-025C,2/01/2002,1184.88,POA,3.59
2405,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE CPVC/FPM   Threaded Ends,1831-030C,3,1385.59,POA,3.6
2406,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE CPVC/FPM   Threaded Ends,1831-040C,4,2510.57,POA,5.99
2407,Lockable Ball Valve ,BALL VALVE TRUE UNION LOCKABLE CPVC/FPM   Threaded Ends,1831-060C,6,5809.08,POA,18.38
2408,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/FPM  SR Threaded Ends,1831-005CSR,1-Feb,159.27,POA,0.21
2409,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/FPM  SR Threaded Ends,1831-007CSR,3-Apr,203.27,POA,0.24
2410,Lockable Ball Valve , BALL VALVE TRUE UNION LOCKABLE CPVC/FPM  SR Threaded Ends,1831-010CSR,1,240.85,POA,0.39
